Index,Peak Name,Group,type
894,gi|259155315,mitochondrial 2-oxoglutarate/malate carrier protein isoform 2 [Homo sapiens],top
2472,gi|4758790,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 [Homo sapiens],top
1248,gi|51479156,"ATP synthase subunit g, mitochondrial [Homo sapiens]",top
1034,gi|4885235,tyrosine-protein kinase Fgr [Homo sapiens],top
915,gi|190885499,"cytochrome c oxidase subunit 5A, mitochondrial precursor [Homo sapiens]",top
2799,gi|251831112,ATP synthase F0 subunit 6 [Homo sapiens],top
1657,gi|24308013,mitochondrial-processing peptidase subunit alpha precursor [Homo sapiens],top
394,gi|4757732,"apoptosis-inducing factor 1, mitochondrial isoform 1 precursor [Homo sapiens]",top
134,gi|122939155,"NAD(P) transhydrogenase, mitochondrial [Homo sapiens]",top
1285,gi|4502981,"cytochrome c oxidase subunit 4 isoform 1, mitochondrial precursor [Homo sapiens]",top
99,gi|394025723,"very long-chain specific acyl-CoA dehydrogenase, mitochondrial isoform 3 [Homo sapiens]",top
201,gi|4885609,proto-oncogene tyrosine-protein kinase Src [Homo sapiens],top
1237,gi|21361368,delta-1-pyrroline-5-carboxylate synthase isoform 1 [Homo sapiens],top
1642,gi|4758788,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial precursor [Homo sapiens]",top
457,gi|221307584,prohibitin-2 isoform 1 [Homo sapiens],top
1667,gi|7657347,mitochondrial carrier homolog 2 [Homo sapiens],top
1765,gi|398303805,"calcium uniporter protein, mitochondrial isoform 3 [Homo sapiens]",top
490,gi|163644321,"cytochrome b-c1 complex subunit Rieske, mitochondrial [Homo sapiens]",top
1706,gi|21359867,"cytochrome c1, heme protein, mitochondrial [Homo sapiens]",top
2813,gi|4505361,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 [Homo sapiens],Electron transport proteins (n=45)
2027,gi|10092657,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 isoform a [Homo sapiens],Electron transport proteins (n=45)
1863,gi|4826848,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 [Homo sapiens],Electron transport proteins (n=45)
2519,gi|68509914,cytochrome b-245 light chain [Homo sapiens],Electron transport proteins (n=45)
2826,gi|4758772,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 [Homo sapiens],Electron transport proteins (n=45)
1570,gi|11128019,cytochrome c [Homo sapiens],Electron transport proteins (n=45)
2697,gi|209862760,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial isoform 2 [Homo sapiens]",Electron transport proteins (n=45)
200,gi|316983160,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial isoform 5 [Homo sapiens]",Electron transport proteins (n=45)
2306,gi|83921614,cytochrome b5 type B [Homo sapiens],Electron transport proteins (n=45)
1456,gi|5454152,cytochrome b-c1 complex subunit 7 isoform 1 [Homo sapiens],Electron transport proteins (n=45)
882,gi|148277071,"thioredoxin reductase 1, cytoplasmic isoform 3 [Homo sapiens]",Electron transport proteins (n=45)
2001,gi|119703746,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
911,gi|251831110,cytochrome c oxidase subunit II [Homo sapiens],Electron transport proteins (n=45)
1146,gi|50592994,thioredoxin isoform 1 [Homo sapiens],Electron transport proteins (n=45)
715,gi|156416003,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial [Homo sapiens]",Electron transport proteins (n=45)
987,gi|151101292,thioredoxin-related transmembrane protein 1 precursor [Homo sapiens],Electron transport proteins (n=45)
1468,gi|4504025,glutaredoxin-1 [Homo sapiens],Electron transport proteins (n=45)
458,gi|50592988,"cytochrome b-c1 complex subunit 2, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
1053,gi|6681764,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
1004,gi|4758786,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial isoform 1 precursor [Homo sapiens]",Electron transport proteins (n=45)
1187,gi|4505355,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 isoform 1 [Homo sapiens],Electron transport proteins (n=45)
1083,gi|115387094,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
1300,gi|48255924,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial isoform a precursor [Homo sapiens]",Electron transport proteins (n=45)
1427,gi|4758774,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 [Homo sapiens],Electron transport proteins (n=45)
1680,gi|222080062,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
605,gi|4759274,thioredoxin-like protein 1 [Homo sapiens],Electron transport proteins (n=45)
1867,gi|4505357,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 [Homo sapiens],Electron transport proteins (n=45)
2131,gi|4826852,"acyl carrier protein, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
442,gi|46593007,"cytochrome b-c1 complex subunit 1, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
1884,gi|187281616,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial [Homo sapiens]",Electron transport proteins (n=45)
2143,gi|6274550,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 [Homo sapiens],Electron transport proteins (n=45)
1081,gi|4758768,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
2211,gi|6041669,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 isoform 1 [Homo sapiens],Electron transport proteins (n=45)
1225,gi|260656005,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial isoform 2 precursor [Homo sapiens]",Electron transport proteins (n=45)
2191,gi|103472001,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 [Homo sapiens],Electron transport proteins (n=45)
1970,gi|83367083,cytochrome b-c1 complex subunit 8 [Homo sapiens],Electron transport proteins (n=45)
2472,gi|4758790,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 [Homo sapiens],Electron transport proteins (n=45)
1789,gi|40254947,thioredoxin-related transmembrane protein 4 precursor [Homo sapiens],Electron transport proteins (n=45)
1033,gi|6996021,cytochrome b-245 heavy chain [Homo sapiens],Electron transport proteins (n=45)
312,gi|4503609,electron transfer flavoprotein subunit beta isoform 1 [Homo sapiens],Electron transport proteins (n=45)
1642,gi|4758788,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial precursor [Homo sapiens]",Electron transport proteins (n=45)
1059,gi|7657069,ERO1-like protein alpha precursor [Homo sapiens],Electron transport proteins (n=45)
490,gi|163644321,"cytochrome b-c1 complex subunit Rieske, mitochondrial [Homo sapiens]",Electron transport proteins (n=45)
713,gi|4503607,"electron transfer flavoprotein subunit alpha, mitochondrial isoform a [Homo sapiens]",Electron transport proteins (n=45)
1706,gi|21359867,"cytochrome c1, heme protein, mitochondrial [Homo sapiens]",Electron transport proteins (n=45)
2474,gi|5901896,"ATP synthase subunit epsilon, mitochondrial [Homo sapiens]",ATP Synthesis proteins (n=10)
2055,gi|50345991,"ATP synthase subunit delta, mitochondrial precursor [Homo sapiens]",ATP Synthesis proteins (n=10)
2588,gi|51558774,"ATP synthase subunit s, mitochondrial isoform a precursor [Homo sapiens]",ATP Synthesis proteins (n=10)
1993,gi|6005717,"ATP synthase subunit e, mitochondrial [Homo sapiens]",ATP Synthesis proteins (n=10)
38,gi|32189394,"ATP synthase subunit beta, mitochondrial precursor [Homo sapiens]",ATP Synthesis proteins (n=10)
363,gi|4502303,"ATP synthase subunit O, mitochondrial precursor [Homo sapiens]",ATP Synthesis proteins (n=10)
63,gi|50345984,"ATP synthase subunit alpha, mitochondrial isoform a precursor [Homo sapiens]",ATP Synthesis proteins (n=10)
796,gi|50345988,"ATP synthase subunit gamma, mitochondrial isoform L (liver) precursor [Homo sapiens]",ATP Synthesis proteins (n=10)
1248,gi|51479156,"ATP synthase subunit g, mitochondrial [Homo sapiens]",ATP Synthesis proteins (n=10)
2799,gi|251831112,ATP synthase F0 subunit 6 [Homo sapiens],
