Index,Peak Name,Group,P1,P1,P1,P2,P2,P2,P3,P3,P3,P4,P4,P4,P5,P5,P5,P6,P6,P7,P7,P8,P8,P8,P9,P9,P9,P10,P10,P10,P11,P11,P11,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5,C5,C6,C6,C6,C7,C7,C7,C8,C8,C8,C9,C9,C9
11,gi|40317626,thrombospondin-1 precursor [Homo sapiens],14996413.8021802,14832941.2290089,15046062.3016672,21278928.8785577,22404370.5516246,22060900.8301472,24058098.1054511,24944885.1052932,25476140.8978397,36576710.1071606,32798832.1829818,35761455.9812917,30042984.1875691,32495394.6494882,19892982.3732546,11015663.4476372,15804870.0511802,27535577.8529489,24962018.4698436,20472676.6000866,20631447.8662148,21767522.3361498,16352970.5134291,18291254.2785147,17295796.3966286,46560096.0635282,46053528.1607702,44335648.1631598,28240434.4423557,27030016.2900634,27095269.1563532,26228398.4417833,26352896.0651291,25565423.9342525,38995526.7608215,41460096.834591,40620356.0692351,39251015.0365416,38364035.8470492,39886980.5329327,28913653.4108115,28198254.5952091,28955128.7913286,33490685.8923534,32464971.9143948,32686178.3329119,43799054.3583036,40181990.536822,43517355.0020327,21065364.3555979,22341824.4402006,21167757.6396273,23180325.4786278,24175196.3369577,22471214.4499432,29407415.7537294,32882874.0393362,31825454.4734387
12,gi|4502027,serum albumin preproprotein [Homo sapiens],11314720.4146776,10767732.6019889,14382576.8552813,17263825.2241583,16927736.9624873,19519074.2559004,33820228.5832219,31637404.7140975,33540507.9577491,25990010.005921,25097490.4701315,23920483.7611744,171280591.386662,162531039.212301,177074298.930134,14208053.059457,16754048.1497406,23606818.9835808,18040534.5112994,14235821.0753421,13781411.0772241,13192402.5196058,21553320.7447636,19688909.4876499,20674122.9599907,11920530.0912412,11773368.1811301,11947916.7730668,26778763.0712302,23766746.3486199,23788862.6429469,22829573.6554647,21165991.1538646,25035316.8328588,19636505.051888,20653833.1167763,20566494.0647116,15176988.824496,15430628.2589951,16150739.8277961,19100182.9010888,18567898.8448252,18839709.9603614,12729619.6772623,12084429.397096,11098183.3726067,17624388.7550271,16192786.1341068,16499691.7655971,18538576.5874614,18499390.3379435,18468471.511855,11334849.0744904,9830615.22881232,10311812.3625537,36862752.491886,31584487.4610634,30549659.7909571
13,gi|154759259,"spectrin alpha chain, non-erythrocytic 1 isoform 2 [Homo sapiens]",1494716.51860587,1339621.04774546,1331200.4401793,1501618.5960665,1510982.10942311,1245230.29887324,1396905.02141404,1345180.54317174,1429648.44826733,820431.300322458,1119200.79666073,1105477.01698477,1504984.4597205,2009098.35972495,990175.017927895,2225284.12851877,1603868.68060678,1678586.54403569,1748929.85937096,1805414.18661374,1661441.10242486,1308230.23753803,3441071.06833071,4935896.92126469,4798431.12532426,890587.649979627,908788.402202282,867216.852053597,1282500.63863666,1329832.78833892,1159792.21472823,1921959.69740831,1924679.2335399,1905593.17650608,1397324.14234291,1585238.5882136,1376920.30497443,1119447.84186243,1196375.01669862,1294518.67576487,1824391.18156867,1377720.6715082,1568564.37680261,1383702.46153009,1458677.3971908,1608255.67677472,953059.967083893,1122628.19463455,1132362.06465175,1564076.76570486,1655476.76483188,1544683.60049455,1175324.7587384,1207884.47965333,1227531.64846714,1542190.46923695,1283041.8074989,1751478.61867975
14,gi|88758615,integrin alpha-IIb preproprotein [Homo sapiens],7246470.46890664,7629962.25466694,7090717.30726564,15579492.704789,15504445.1975097,16098781.7416138,21366353.7779927,21660214.2484135,21582813.3658874,22327745.3911423,25865189.6920287,25759313.6629935,20061481.5713889,20240802.7654906,19926272.82827,8069806.88297136,9835664.54504795,20263676.0065887,21993694.9515249,10566534.7526522,10541646.0276666,11166433.9517023,21168826.3007047,20603906.8661311,19992854.5615964,31135245.1063833,30862860.2025162,33066797.7296897,15923365.4288704,16530019.1150862,16103730.9891458,29706953.5442465,27729541.4127589,27566324.1122836,37525499.4221553,37759413.5896067,37894211.4606707,27721599.5114444,27035509.8148315,26988907.8559576,37624148.7917776,40916160.7348025,41892599.2510924,18277753.4879468,19414911.5877647,18887749.5840463,31820797.4615747,26173007.2401956,29300257.2534491,18861588.7194821,20673714.7024491,20336280.5387853,12458172.6060312,14738126.1856401,14828638.5910241,27877187.8169254,28789618.2247462,28843484.833768
15,gi|4503571,alpha-enolase isoform 1 [Homo sapiens],15111784.0763138,15966784.3171031,16144105.6359176,12050235.7617969,11338150.6518896,12354860.5761538,10450084.7012589,10378150.4410886,11075582.7593992,14555226.6945207,14387289.5597871,15697282.6789593,9383778.03696641,11414142.2648121,10192558.2773446,24108801.4832759,17425510.9314321,16334834.4859856,17236060.0134559,15008629.1746715,15064834.7954307,14839407.4634207,14813006.1306148,15105814.2095356,15694967.5824318,12548196.1349752,11811849.0434791,11751910.4307588,14221109.7290366,13929783.385725,13360528.0621218,14146418.3473224,13456881.314872,13884863.7618155,9521190.1210502,9343572.86597528,10372037.5336424,16142653.7294452,17370575.778602,17769071.7846747,16888835.6833039,17018715.2749184,17539633.3167855,15645953.51514,14667881.7380537,16236948.9918174,14158962.7918947,14293275.0692713,14933222.9489458,17277079.4087017,16693774.8059871,16040479.793978,14426178.6343598,14592886.5816777,14985031.7983425,7372865.60910347,8819071.22895174,8864435.44559434
16,gi|57013276,tubulin alpha-1B chain [Homo sapiens],12374259.2772519,9724062.73421735,9240397.71359301,9153437.31990359,9760317.03121133,10031706.2424662,13208654.4495612,12008825.5218686,13177201.5573247,15664507.182393,15875207.2104736,16172769.5572726,12850698.5704669,11046912.7312069,13985745.4334946,21507731.8204324,14536446.9408629,12821145.6199134,16510915.5342541,15113655.8382065,13557189.5233607,15005350.9564777,19896723.5443397,20562504.7975299,16370584.5471714,21951277.8297615,16928520.1387024,15997385.3177342,19042180.1904007,15054408.6058718,16872176.2757122,18858742.0479874,21519151.0477903,18125745.188138,20694823.1407918,13525077.6161526,14969358.2623847,22922717.7612998,26454053.7999275,24806445.3317785,19920130.6411036,22771996.0214384,20205288.1863124,18050892.3026872,14867573.5612986,21438805.5758996,24855727.4929719,23172632.2048474,22329607.4403334,20100557.6855269,20460839.5935989,17615791.7786963,14285329.6458205,17624591.9970054,16416463.8191161,13397558.7405346,17560021.8709387,15589744.6814687
17,gi|33286418,pyruvate kinase isozymes M1/M2 isoform a [Homo sapiens],16138978.4241725,15484923.178533,14429049.5219789,23234382.5791274,23203067.5962091,24431351.7740663,17732171.6257483,15508362.609111,16939683.6111069,18799856.7660198,18587480.7198955,18453041.5385765,20277283.4677076,22710422.4197963,18447534.5511653,7336053.77700025,14457866.8585188,15712865.0918152,15782216.8629046,20841290.0333419,21792114.6373721,20229357.7477785,12031630.9174551,11815860.923506,10055469.5754911,15479581.1532604,15194512.1120737,14820396.8453841,16444448.1174101,19697476.7742125,16552702.8048959,9766618.90921143,9261327.59465723,9999791.28022021,10958141.15248,11859905.7465852,12207240.6904104,17201811.784494,16717375.62553,16390624.0004733,13360295.1590868,13417086.2857777,13894771.1807673,19571391.857456,18842059.0268753,20033100.7038815,17408526.3747353,15637392.5689181,16211010.6067682,14364296.2089349,14183141.354912,13884943.2631777,18913636.2674786,18790032.6933451,18063095.1768528,11423495.0410013,11715599.1102139,9925623.67746205
18,gi|41281905,fermitin family homolog 3 long form [Homo sapiens],9183890.11202797,11327058.0670061,8899852.36540684,13740131.1773061,13781958.3729405,13303086.0377967,11783063.8400005,11479416.7914656,9863628.30675683,12952629.1875448,14176334.9245816,13176988.8145563,18439523.1969321,18625422.1849501,18655315.9086656,1241493.28310452,13262183.5461866,13073937.6881105,12929025.2658771,11828214.77754,11812128.6415588,11313338.6940662,6171121.24193709,5985361.08553757,6665841.53159553,29896615.4820117,28831953.0711172,27771637.0137399,16773499.6886237,16524397.7087095,16742230.9043844,14310399.7528009,12523786.4566278,13019086.8662059,22930234.190848,25031960.1146807,24247363.2266412,16787706.1621031,17062847.8521715,17210700.7763826,17156590.4518284,17134628.9588877,17494373.0860548,20246258.217367,19748268.4608166,20970172.5123508,20622762.2299529,19010849.1819825,19011866.0203404,10865166.7537905,11428746.0484882,11423878.4319967,15404108.1560441,15974878.0629833,15582633.3945823,14223501.2572814,14835827.4285878,15450395.3355762
19,gi|112382250,"spectrin beta chain, non-erythrocytic 1 isoform 1 [Homo sapiens]",1683497.02085318,1644573.11612923,1397906.09488084,1720362.32177798,1593270.10754922,1460504.16381,2252375.31876631,1920490.40136064,2100708.16005542,1926227.29405994,1842812.10752503,1139569.07939005,1205951.75404567,1134760.35079225,1380868.10807691,2683334.56389286,1329569.38704544,1875090.3753059,1748080.40765024,1655558.49590401,1610265.31342403,1471958.49316357,2343910.77402479,2753195.23856453,2786948.15402113,993940.935919091,887681.57810989,999807.988458629,1741744.10502726,1118091.23286909,1400449.50152742,2266574.67798714,1934109.01860609,1907336.7755717,1036134.20241071,1069641.4329852,951312.370484607,1611801.8855608,1538814.89619471,1366919.51834684,1457578.12908978,1477135.54216656,1491433.44913283,1529102.50259479,1427707.33578601,1525013.98421592,1176264.25956225,1187007.61264257,1415317.41284768,1590727.7927448,2294125.0369046,2186528.17918755,1767807.2123594,1786976.26969194,1805662.30553804,1105500.2778985,1428084.34711157,1320582.96776244
20,gi|70906439,fibrinogen gamma chain isoform gamma-B precursor [Homo sapiens],3752012.9642629,5178262.37264958,3104650.04406238,5738377.97987204,4035448.34581834,3347058.68964595,7574761.11675685,6788731.56800374,8362178.06848846,12116817.7886134,10315795.0814662,11196439.0202698,8320099.06436726,7051745.9453417,7741466.93477736,1493236.13203805,2420399.26557443,10784438.1541455,7443778.50827915,4876386.7602257,3558594.08504932,3709447.58055198,4769036.9208995,6320304.47479572,6461114.28843833,11836189.787583,16991070.3044136,16312953.5404942,5892284.98754379,7133342.45199086,7172812.34497168,14725852.0131453,9245820.04369906,10013442.1905299,11865451.1716806,8898664.62412432,9527813.29311046,8153395.50552212,7772300.7016675,8190828.770139,10492679.7188381,11016471.7967857,16042279.0720699,6573121.74635971,7151656.39760069,7169666.5584925,19359338.5546387,19165541.1582247,19089790.6035923,8438634.56832805,8452979.79449808,7982234.44711931,7894354.20901243,7342614.4935064,7421132.28465045,6035655.46562701,8332299.28069619,5547506.5583128
21,gi|384475528,gelsolin isoform d [Homo sapiens],5319924.18164109,5164137.96788725,4278458.44583742,10391122.1425824,11180370.4391067,10025529.0160036,12373640.6130333,12447939.8629201,12586568.4134208,11827266.8786961,13367639.2363697,12631663.1520169,17573639.6863229,18816121.0098435,16325034.3411859,7237847.22501051,12450042.5429159,7636455.7852559,8146233.14959768,9466783.26896749,10365062.2357851,10068589.3937563,4309710.24257997,4311027.69846072,4296092.87246801,13018597.810132,13004412.5634331,13265723.0339174,7641240.9819526,7459876.67955453,7478936.52088488,8161607.77902782,8155554.04242498,7670205.73158545,14504267.7714731,15133309.2618766,15559802.9654516,10751949.7875532,10657128.8858429,11011585.3983203,10856920.4579018,9908100.49725379,10583574.8906097,10138332.4911268,11633072.4516509,11523603.8874437,12387011.8061318,12393329.4180137,12817366.6752122,6629559.96736693,6456257.61713021,6427006.01837254,7293765.06356255,7739371.19360314,7591568.48382053,7639602.73215851,7961183.75399128,8840886.45151475
22,gi|4506787,ras GTPase-activating-like protein IQGAP1 [Homo sapiens],3789564.78600382,3847598.00825396,4253676.17747759,2626101.55190013,2529543.68239412,2294795.24120079,1754789.73524457,1960072.16008589,2024855.4227793,2420721.60096157,2449643.31636587,2399848.18703378,1618187.38360504,1502932.14947122,1750643.13825173,2061509.18727189,2322430.75239289,2592848.56288967,2997158.64330307,3279061.68002902,3546028.65265268,3723795.69004219,2366595.0894239,2352995.54371235,2147401.11028739,1974665.75622713,2152292.89652822,1817389.26206595,2916174.30737542,3249701.26377778,3044143.75698723,1387886.11788398,1646159.88360608,2975398.46531189,1117471.31425803,901608.103728964,1081499.93764281,2667631.99726848,2586946.39279818,2274647.66715269,1511176.61060132,1719394.61340362,1593999.58651736,3116026.98108151,3214140.36544993,2806474.70141253,2429063.93503983,2391267.53106562,2275200.77594896,3279169.06856749,3234531.63212064,2944373.2601886,3531423.31350854,3285211.54684961,3269327.28776733,2131313.0968764,1552712.90521332,2436372.74947137
23,gi|70906435,fibrinogen beta chain isoform 1 preproprotein [Homo sapiens],3741646.13344917,4088009.67827862,3616766.35903251,8657320.81886384,8231330.34089406,8161730.12942209,13996300.7048496,14344793.3819443,14407041.7719397,11341289.4913416,11044251.2979786,10942281.821019,7331699.43137094,7877674.22858254,5077265.43447258,6938639.14045533,5422121.73234513,7868182.84359907,10014326.4788415,6175089.64017633,5169613.94366116,5572434.53922579,5226462.8630119,5232257.39169899,5343449.29795596,11695879.9293866,11780649.4896192,10823293.5811975,7051526.63121371,6819912.51385404,6719481.8164054,10719977.5584764,11403053.452845,11390757.7799799,8521357.649,9023693.1911339,9693709.87986455,8326242.19059989,9568965.08891789,9725378.23713298,11352150.6352175,11570589.7238209,12443402.4503107,7351451.88441208,6976453.95710344,7695696.90052564,14465674.4045346,15419581.3164827,13390230.5075719,6237230.80902254,6301197.81121761,6177923.87737794,5136948.19765113,5246649.64401959,4831612.00604625,7150594.83138656,7276570.37903543,7651292.53156663
24,gi|33350932,cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],1370724.18674056,1168069.05105339,836613.129999129,883044.417742192,900196.64994525,886806.307284451,749995.468323159,767620.109878334,744599.236907133,729137.378331574,869417.137826845,774594.871478741,647428.524685837,832320.040908028,687197.385079069,1630590.73354097,1317727.97829395,1225293.09702836,1184116.91473801,1153428.81303295,1361009.49519284,1252012.8713696,1246642.13752806,868007.873681889,778484.783210365,730736.951608191,700109.682340312,780179.170419587,1092515.34304944,1052100.87844795,1035223.01665778,897279.334191454,904904.12799684,970188.522817492,565996.599306294,521468.747086055,511485.6075277,1802426.746162,867803.687361588,1068663.33008318,670085.083646432,616513.732120772,654218.962377246,984968.996307718,1089352.95628135,1023093.70587787,1170904.86146894,1181813.34537994,988057.883891968,1178798.88595595,1223806.05829247,1113614.43780162,1219928.20190859,1129468.99321749,1122267.23190587,383528.242741512,640660.61514396,516589.33144443
25,gi|5729877,heat shock cognate 71 kDa protein isoform 1 [Homo sapiens],14163840.5173235,11468672.3252319,11036943.7359103,13541384.2918029,13539953.6330865,14020609.6052753,16872823.7282637,14937901.8998875,16629820.3410995,14437932.0715091,18738347.351163,18702273.0086893,8496596.90079925,10396369.1974609,8714947.48821019,9383238.30978601,12973021.0400915,14204930.999275,14275019.9151289,15644558.1423093,12505034.2633711,14680124.776355,25328480.4826315,26074262.95348,20709215.4126275,13452640.8784775,12114312.6574861,11993280.2001844,14598350.0858857,13923895.2539753,14684319.5101888,17229591.7008374,13579689.602509,17697047.1874091,14497304.0874319,15032386.4350469,14720324.5115811,14964572.9547652,15240931.3603746,17121625.8503558,17118761.6978496,16365953.1721412,17685258.5331488,14490229.6426742,14005879.6372385,13536945.7272931,16332125.0746544,16056851.0236544,15146369.8387774,16037993.4328429,16892811.6968933,15849363.3115325,13861426.5901747,13902982.0117644,14010522.9226475,10761036.1446928,11564373.8595323,10947380.5567417
26,gi|167614506,plastin-2 [Homo sapiens],22401707.3633981,22955072.3127734,20314494.6134157,14238163.0603045,14831137.1339849,14132081.7464766,9154006.5241815,8787880.63601561,9514868.44085239,17069150.6946461,17215633.7826309,14952038.3005838,5475087.74179049,5618594.51263983,4810949.76917806,8805431.19494697,23547229.4341037,16098892.7109722,17195053.1779277,12615245.7898283,13308289.9143105,12631792.4815039,18577721.5220216,18040429.0280625,15580172.8349725,9758368.32885615,9802661.69515557,9761911.13234802,19023593.4084002,19395260.3732679,19917617.2351998,19769784.3846603,20262902.9477398,18976318.5794514,7466040.52053699,7688501.30836627,7490342.39995359,14005597.9411305,13936675.8876506,13860345.6032014,17727880.0715062,16890368.9315156,17726583.6428569,15936356.088493,16270168.459262,16775176.7962906,14542368.3227941,13614959.8662296,13596924.1476109,24066852.2250997,24859250.5848555,24779135.7917214,21387310.8569244,21799335.2701301,21420926.240099,12151305.3290372,12776633.447713,13329971.0600231
27,gi|29788785,tubulin beta chain [Homo sapiens],14187761.9973385,13791064.8769317,8751187.47478421,8043436.93795673,9597987.09955795,8775632.74807287,11104279.0261288,11648310.6989836,12319710.630004,17831182.9550078,19745805.3648341,17566311.8215278,9709606.72765028,6008978.77100379,6331767.25507992,5876116.56162995,12058351.1177529,13402347.4771763,10015043.8180613,9321526.55536884,9788057.70444546,8980699.87280847,12916430.9202775,11979420.0671397,12609869.7548802,15661616.9838256,14354289.5074804,14347602.753292,14440750.8878346,13901082.9938487,11829680.1179932,16357820.0717833,18470959.1435853,16043622.8896518,15177728.182569,15344617.1979691,15771751.9100394,13583009.0008607,13191530.5917845,14647643.6580183,17360330.9848421,15233217.187568,15460706.4499617,11717679.1660708,14765408.4659274,12116756.3257714,17779728.1183643,16258863.979973,16962574.7655707,13153105.7529489,13730709.5201403,13128250.8461107,14034397.6459864,12393410.5502511,13810436.6602011,9518982.89839491,11415890.1133282,10618930.1187677
